player_name,minutes_played,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Chris Paul,20.75,21700216,2017-11-16,35.8,31.91986656188965,8900.0,7100.0,41.0,PG,PG/SG,PG
James Harden,34.61666666666667,21700216,2017-11-16,64.9,49.63167190551758,12500.0,12700.0,57.0,SG,PG/SG,SG
Kyrie Irving,33.78,21700215,2017-11-16,36.0,44.357086181640625,8300.0,8100.0,43.0,PG,PG,PG
Stephen Curry,31.065,21700215,2017-11-16,31.700000000000003,34.19545364379883,9700.0,8700.0,50.0,PG,PG/SG,PG
Devin Booker,30.3,21700216,2017-11-16,30.4,34.95905303955078,7600.0,7500.0,34.0,SG,SG/SF,SG
Al Horford,35.135,21700215,2017-11-16,29.200000000000003,34.663536071777344,7500.0,7600.0,29.0,C,PF/C,C
Kevin Durant,34.971666666666664,21700215,2017-11-16,38.1,39.922569274902344,10500.0,9700.0,50.0,SF,SF/PF,SF
Draymond Green,38.28333333333333,21700215,2017-11-16,36.1,44.6118278503418,8200.0,7300.0,36.0,PF,PF/C,PF
Lou Williams,37.13333333333333,21700220,2017-11-17,24.9,30.800683975219727,7700.0,6600.0,21.0,SG,PG/SG,SG
Paul George,42.13333333333333,21700223,2017-11-17,41.4,26.739768981933594,8500.0,8300.0,38.0,SF,SF,SF
Russell Westbrook,37.833333333333336,21700223,2017-11-17,37.3,38.376094818115234,10000.0,10300.0,58.0,PG,PG,PG
Jimmy Butler,37.333333333333336,21700224,2017-11-17,41.6,29.28343391418457,8000.0,7300.0,31.0,SF,SG,SG
Karl-Anthony Towns,37.473333333333336,21700224,2017-11-17,32.2,36.32869338989258,9900.0,9400.0,47.0,C,C,C
LeBron James,46.13,21700220,2017-11-17,58.8,47.91355514526367,11400.0,11200.0,56.0,SF,SF/PF,SF
Andre Drummond,35.416666666666664,21700217,2017-11-17,43.5,28.475135803222656,9100.0,8900.0,41.0,C,C,C
